,TOPSIS,ARAS,CODAS
AT,0.46914970401966977,0.41516279344767837,3.356011072107529
BE,0.37203909590050105,0.27603398077239283,-1.4730428653506162
BG,0.14663804988415988,0.11362376021880423,-9.14268247184015
HR,0.3825570727924065,0.3015759110654397,-1.0870527415051714
CY,0.1989813984672299,0.1588178279521693,-7.382892024845956
CZ,0.4046775399785854,0.30576818883695517,-0.2478101028851477
DK,0.5208338692324338,0.47637992443337707,5.8136055036020515
EE,0.44164299392421624,0.3718053267732565,1.7186511939278075
FI,0.5071549277392922,0.4741360487046151,5.488682549305191
FR,0.3731799000869423,0.29234711682075804,-1.4815087829046305
DE,0.35139608168781744,0.28724351510569385,-2.050364625232073
EL,0.2822527084756819,0.22356979759554396,-4.387460689214505
HU,0.3735746905012555,0.2673304775877294,-1.5712894807393654
IS,0.6379677858938474,0.7385383496110344,15.927224466084004
IE,0.44332606255572965,0.36090070258844975,2.114708838173792
IT,0.33131928587434195,0.2676092903990314,-2.713594000730843
LV,0.4153692235272299,0.3486616333285269,0.11040194180753521
LT,0.2042233524189283,0.15426895480348074,-7.345923111945617
LU,0.4130378866189969,0.34216056429628217,0.43264295742214587
MT,0.3672190873413245,0.23708652563300187,-2.0086155934587544
NL,0.38001571817183766,0.2739097219893445,-1.2407948711076806
NO,0.6375652170336281,0.6704242377545306,13.153415339153282
PL,0.36889916390636657,0.2542584589024515,-1.7865700595769558
PT,0.31089679286990435,0.26881661732182666,-2.991616192217372
RO,0.3202762860258436,0.24395562741656385,-3.3669484791895874
SK,0.3613076255403653,0.26346622846027573,-2.0063625704320383
SI,0.39562846302156,0.30669476128274314,-0.6793799841327613
ES,0.3258955580719956,0.25210480128142215,-3.1190113540865054
SE,0.5765065535673801,0.5719177533420983,9.26560137315974
UK,0.37939223260098176,0.2863341206464158,-1.2980252333473494
