,Usual,U-shape,V-shape,Level,Linear,Gaussian
AT,6,6,6,6,6,6
BE,18,15,17,17,17,17
BG,27,30,30,30,30,30
HR,19,16,15,13,11,12
CY,30,29,29,28,28,28
CZ,8,11,11,11,12,11
DK,5,5,5,4,4,4
EE,7,7,7,7,10,9
FI,4,4,4,5,5,5
FR,14,18,13,14,14,13
DE,13,14,16,16,15,16
EL,26,25,27,27,27,27
HU,21,20,19,20,19,19
IS,1,2,1,1,1,1
IE,11,8,9,8,9,8
IT,20,21,20,21,18,18
LV,10,10,10,10,8,10
LT,28,28,28,29,29,29
LU,12,9,8,9,7,7
MT,29,27,26,25,22,24
NL,15,19,18,18,21,20
NO,3,1,2,2,2,2
PL,25,24,24,24,23,23
PT,17,12,21,19,24,22
RO,23,26,25,26,26,26
SK,22,23,22,22,20,21
SI,9,13,12,12,16,15
ES,24,22,23,23,25,25
SE,2,3,3,3,3,3
UK,16,17,14,15,13,14
